RTA_DELTA,RTA_NORM,sys_util
0.0,0.5000000000000003,2.0
0.0,1.0,0.25
0.0,1.0,0.5
0.0,0.5025773195876287,1.0
0.0,0.5000000000000003,1.25
0.0,0.5000000000000003,1.5
0.0,0.5000000000000003,1.75
0.0,0.9,0.75
